age,work_class,education,education_degree,marital_status,job,relationship,race,sex,capital_gain,capital_loss,hours_per_week,birthplace,income
90,,HS-grad,9,Widowed,,Not-in-family,White,Female,0,4356,40,United-States,low
82,Private,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,4356,18,United-States,low
66,,Some-college,10,Widowed,,Unmarried,Black,Female,0,4356,40,United-States,low
54,Private,7th-8th,4,Divorced,Machine-op-inspct,Unmarried,White,Female,0,3900,40,United-States,low
41,Private,Some-college,10,Separated,Prof-specialty,Own-child,White,Female,0,3900,40,United-States,low
34,Private,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,3770,45,United-States,low
38,Private,10th,6,Separated,Adm-clerical,Unmarried,White,Male,0,3770,40,United-States,low
74,State-gov,Doctorate,16,Never-married,Prof-specialty,Other-relative,White,Female,0,3683,20,United-States,high
68,Federal-gov,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Female,0,3683,40,United-States,low
41,Private,Some-college,10,Never-married,Craft-repair,Unmarried,White,Male,0,3004,60,,high
45,Private,Doctorate,16,Divorced,Prof-specialty,Unmarried,Black,Female,0,3004,35,United-States,high
38,Self-emp-not-inc,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,2824,45,United-States,high
52,Private,Bachelors,13,Widowed,Other-service,Not-in-family,White,Female,0,2824,20,United-States,high
32,Private,Masters,14,Separated,Exec-managerial,Not-in-family,White,Male,0,2824,55,United-States,high
51,,Doctorate,16,Never-married,,Not-in-family,White,Male,0,2824,40,United-States,high
46,Private,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Male,0,2824,40,United-States,high
45,Private,11th,7,Divorced,Transport-moving,Not-in-family,White,Male,0,2824,76,United-States,high
57,Private,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,0,2824,50,United-States,high
22,Private,Assoc-acdm,12,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,2824,40,,high
34,Private,Bachelors,13,Separated,Sales,Not-in-family,White,Male,0,2824,50,United-States,high
37,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,2824,40,United-States,high
29,Private,11th,7,Separated,Sales,Not-in-family,White,Female,0,2754,42,United-States,low
61,Private,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0,2754,25,United-States,low
51,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2603,40,United-States,low
61,,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,2603,32,United-States,low
21,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2603,40,United-States,low
33,Private,1st-4th,2,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,2603,32,Mexico,low
49,Private,5th-6th,3,Married-civ-spouse,Other-service,Husband,White,Male,0,2603,40,Greece,low
37,Self-emp-inc,10th,6,Never-married,Transport-moving,Not-in-family,White,Male,0,2559,50,United-States,high
38,Private,10th,6,Never-married,Prof-specialty,Not-in-family,White,Male,0,2559,90,United-States,high
23,Private,Some-college,10,Separated,Other-service,Not-in-family,White,Male,0,2559,40,United-States,high
59,Self-emp-inc,10th,6,Widowed,Exec-managerial,Unmarried,White,Female,0,2559,50,United-States,high
52,Private,Prof-school,15,Divorced,Exec-managerial,Not-in-family,White,Male,0,2559,60,United-States,high
51,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,2559,50,United-States,high
60,Self-emp-not-inc,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Black,Male,0,2559,50,United-States,high
63,Federal-gov,Doctorate,16,Divorced,Exec-managerial,Not-in-family,White,Female,0,2559,60,United-States,high
53,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,2559,48,United-States,high
51,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,2559,50,United-States,high
37,Self-emp-not-inc,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,2559,60,United-States,high
54,Private,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,2559,40,United-States,high
